gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description filename
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_139057_10	7606	8394	789	-1	0.654	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_139057_11	8404	9219	816	-1	0.648	11	AGGAG	GENOMAD.148341.PC	1.087e-19	92	0	0	0	1	NA	NA	NA	PF01557;TIGR03218;K02554;COG3971	4-oxalocrotonate decarboxylase
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_139057_12	9361	10221	861	1	0.606	11	GGAG/GAGG	GENOMAD.147957.CP	7.721e-08	56	0	0	0	1	NA	NA	NA	PF03583;TIGR01607;COG2267;K01054	Plasmodium subtelomeric family (PST-A)
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_139057_13	10320	10847	528	1	0.610	11	3Base/5BMM	GENOMAD.194904.CP	2.217e-15	76	0	0	0	1	NA	NA	NA	PF09523;TIGR02444;COG5589	TIGR02444 family protein
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_139057_14	10844	11200	357	-1	0.616	11	GGAGG	GENOMAD.209139.CP	5.645e-09	55	0	0	0	1	NA	NA	NA	PF09098;K20200;COG4654;TIGR03874	Cytochrome c551/c552
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_139057_15	11232	12698	1467	-1	0.639	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_139057_16	12712	12936	225	-1	0.644	11	GGAG/GAGG	GENOMAD.216195.PC	1.389e-35	129	0	0	0	1	NA	NA	NA	PF03367;K21759;TIGR04165;COG1779	Cys-rich peptide, TIGR04165 family
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_139057_17	12933	14387	1455	-1	0.630	11	GGA/GAG/AGG	GENOMAD.129969.CP	5.688e-292	892	0	0	0	1	NA	NA	NA	PF01977;PF00111;K01612;COG0043;TIGR00148	3-polyprenyl-4-hydroxybenzoate decarboxylase
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_139057_18	14407	15852	1446	-1	0.645	11	AGGA	GENOMAD.168696.PC	9.072e-15	80	0	0	0	1	NA	NA	NA	PF07368;TIGR00407;COG0014;K18601	gamma-glutamyl phosphate reductase
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_139057_19	15895	17442	1548	-1	0.612	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_139057_20	17451	18020	570	-1	0.640	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_139057_21	18024	18638	615	-1	0.631	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_139057_22	18795	20255	1461	-1	0.639	11	AGGAG	GENOMAD.168696.PC	1.633e-09	63	0	0	0	1	NA	NA	NA	PF07368;TIGR00407;COG0014;K18601	gamma-glutamyl phosphate reductase
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_139057_23	20381	22165	1785	-1	0.592	11	None	GENOMAD.129297.CP	5.857e-14	78	0	0	0	2561	Caudoviricetes	NA	NA	K15721;COG4773	Outer membrane receptor for ferric coprogen and ferric-rhodotorulic acid
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_409434_1	63	464	402	1	0.572	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_409434_2	318	2237	1920	-1	0.578	11	GGA/GAG/AGG	GENOMAD.045363.VV	0.000785	45	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_409434_3	2234	3124	891	-1	0.565	11	GGA/GAG/AGG	GENOMAD.130290.CP	1.753e-07	55	0	0	0	1	NA	NA	NA	PF06027;COG2962;TIGR03340;K15268	Uncharacterized membrane protein RarD, contains two EamA domains
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_409434_4	3299	4678	1380	1	0.559	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_409434_5	4703	5227	525	1	0.501	11	GGA/GAG/AGG	GENOMAD.168716.PC	4.067e-28	113	0	0	0	1	NA	NA	NA	PF00866;K14749;TIGR03231;COG5517	anthranilate 1,2-dioxygenase, small subunit
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_409434_6	5258	6355	1098	1	0.570	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_409434_7	6422	9097	2676	1	0.579	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_409434_8	9235	9519	285	1	0.533	11	GGA/GAG/AGG	GENOMAD.171740.CP	3.182e-21	89	0	0	0	1	NA	NA	NA	PF07045;COG5470	Uncharacterized conserved protein, DUF1330 family
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_409434_9	9530	9976	447	1	0.620	11	None	GENOMAD.212729.PC	6.992e-62	209	0	0	0	1	NA	NA	NA	PF06139	BphX-like
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_409434_10	9944	10882	939	-1	0.599	11	None	GENOMAD.153340.CP	9.203e-15	78	0	0	0	1	NA	NA	NA	PF10100;TIGR00745;K00077;COG1893	2-dehydropantoate 2-reductase
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_409434_11	10886	12205	1320	-1	0.585	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_409434_12	12271	13200	930	-1	0.548	11	GGA/GAG/AGG	GENOMAD.160812.CP	9.365e-16	81	0	0	0	1	NA	NA	NA	PF00487;K22875;COG3239	Fatty acid desaturase
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_409434_13	13390	14241	852	1	0.570	11	GGA/GAG/AGG	GENOMAD.126142.CP	4.186e-36	141	0	0	0	1	NA	NA	NA	PF01614;PF09012;COG1414;TIGR02431;K10973	DNA-binding transcriptional regulator, IclR family
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_409434_14	14354	15583	1230	1	0.546	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_409434_15	15593	16810	1218	-1	0.607	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_409434_16	16764	17552	789	-1	0.615	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_409434_17	17564	18379	816	-1	0.615	11	GGAG/GAGG	GENOMAD.148341.PC	1.087e-18	89	0	0	0	1	NA	NA	NA	PF01557;TIGR03218;K02554;COG3971	4-oxalocrotonate decarboxylase
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_409434_18	18509	19369	861	1	0.570	11	GGAG/GAGG	GENOMAD.147957.CP	3.715e-08	57	0	0	0	1	NA	NA	NA	PF03583;TIGR01607;COG2267;K01054	Plasmodium subtelomeric family (PST-A)
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_409434_19	19490	20002	513	1	0.569	11	GGAGG	GENOMAD.194904.CP	7.569e-18	83	0	0	0	1	NA	NA	NA	PF09523;TIGR02444;COG5589	TIGR02444 family protein
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_409434_20	20056	21309	1254	-1	0.586	11	AGGA	GENOMAD.195507.PC	5.962e-10	64	0	0	0	1	NA	NA	NA	COG2223;K08153	Nitrate/nitrite transporter NarK
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_409434_21	21352	21717	366	-1	0.546	11	GGAGG	GENOMAD.209139.CP	2.828e-09	56	0	0	0	1	NA	NA	NA	PF09098;K20200;COG4654;TIGR03874	Cytochrome c551/c552
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_409434_22	21747	23213	1467	-1	0.605	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_409434_23	23228	23452	225	-1	0.600	11	GGAG/GAGG	GENOMAD.216195.PC	2.62e-29	111	0	0	0	1	NA	NA	NA	PF03367;K21759;TIGR04165;COG1779	Cys-rich peptide, TIGR04165 family
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_409434_24	23449	24903	1455	-1	0.605	11	GGA/GAG/AGG	GENOMAD.129969.CP	5.688e-292	892	0	0	0	1	NA	NA	NA	PF01977;PF00111;K01612;COG0043;TIGR00148	3-polyprenyl-4-hydroxybenzoate decarboxylase
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_409434_25	24923	26368	1446	-1	0.600	11	AGGA/GGAG/GAGG	GENOMAD.168696.PC	1.851e-14	79	0	0	0	1	NA	NA	NA	PF07368;TIGR00407;COG0014;K18601	gamma-glutamyl phosphate reductase
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_409434_26	26412	27959	1548	-1	0.594	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_409434_27	27968	28537	570	-1	0.598	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_409434_28	28540	29154	615	-1	0.592	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_409434_29	29438	31999	2562	-1	0.582	11	GGAG/GAGG	GENOMAD.129297.CP	1.887e-34	146	0	0	0	2561	Caudoviricetes	NA	NA	K15721;COG4773	Outer membrane receptor for ferric coprogen and ferric-rhodotorulic acid
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_409434_30	32029	34197	2169	-1	0.576	11	GGAGG	GENOMAD.129297.CP	1.471e-36	152	0	0	0	2561	Caudoviricetes	NA	NA	K15721;COG4773	Outer membrane receptor for ferric coprogen and ferric-rhodotorulic acid
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_409434_31	34232	34822	591	-1	0.548	11	None	GENOMAD.154855.CP	4.082e-15	76	0	0	0	1	NA	NA	NA	PF01323;K14584;COG3917	DSBA-like thioredoxin domain
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_409434_32	34819	36036	1218	-1	0.605	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_409434_33	36106	36594	489	-1	0.538	11	GGA/GAG/AGG	GENOMAD.181088.PC	2.077e-21	93	0	0	0	1	NA	NA	NA	PF00866;K16320;TIGR03232;COG5517	benzoate 1,2-dioxygenase, small subunit
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_409434_34	36594	36920	327	-1	0.566	11	4Base/6BMM	GENOMAD.143067.CP	2.415e-14	70	0	0	0	1	NA	NA	NA	PF13806;K14578;COG2146;TIGR02377	Ferredoxin subunit of nitrite reductase or a ring-hydroxylating dioxygenase
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_409434_35	36966	37865	900	-1	0.583	11	GGAG/GAGG	GENOMAD.180924.PC	1.242e-137	436	0	0	0	1	NA	NA	NA	PF19581;K14751;TIGR03213;COG2514	2,3-dihydroxybiphenyl 1,2-dioxygenase
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_409434_36	38029	39495	1467	1	0.559	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_409434_37	39492	39986	495	1	0.576	11	GGAG/GAGG	GENOMAD.176765.PC	2.528e-38	142	0	0	0	1	NA	NA	NA	PF00866;K05600;TIGR03231;COG5517	anthranilate 1,2-dioxygenase, small subunit
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_409434_38	39970	40962	993	1	0.648	11	GGA/GAG/AGG	GENOMAD.132496.CP	3.652e-34	137	0	0	0	2561	Caudoviricetes	NA	NA	PF04166;K00097;COG1995;TIGR00557	4-hydroxy-L-threonine phosphate dehydrogenase PdxA
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_409434_39	40973	42253	1281	1	0.608	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_409434_40	42250	42729	480	1	0.579	11	GGAGG	GENOMAD.181088.PC	2.958e-34	130	0	0	0	1	NA	NA	NA	PF00866;K16320;TIGR03232;COG5517	benzoate 1,2-dioxygenase, small subunit
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_409434_41	42769	43374	606	1	0.592	11	AGGAG	GENOMAD.166120.CP	4.589e-05	46	0	0	0	1	NA	NA	NA	PF13417;TIGR01262;COG2999;K11209	maleylacetoacetate isomerase
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_409434_42	43545	44396	852	1	0.552	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_409434_43	44415	45338	924	1	0.568	11	AGGAG	GENOMAD.160999.PC	1.518e-112	364	0	0	0	1	NA	NA	NA	PF18029;PF00903;K00446;TIGR03211;COG2514	catechol 2,3 dioxygenase
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_409434_44	45341	45772	432	1	0.646	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_409434_45	45813	47297	1485	1	0.649	11	3Base/5BMM	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_409434_46	47302	48114	813	1	0.664	11	None	GENOMAD.151339.PC	8.569e-29	119	0	0	0	1	NA	NA	NA	PF01557;K01617;TIGR03218;COG3971	4-oxalocrotonate decarboxylase
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_409434_47	48139	49077	939	1	0.616	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_409434_48	49074	50105	1032	1	0.626	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_409434_49	50107	50877	771	1	0.621	11	GGA/GAG/AGG	GENOMAD.151339.PC	2.723e-28	117	0	0	0	1	NA	NA	NA	PF01557;K01617;TIGR03218;COG3971	4-oxalocrotonate decarboxylase
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_409434_50	50879	51112	234	1	0.560	11	GGAG/GAGG	GENOMAD.147542.CP	1.792e-19	83	0	0	0	1	NA	NA	NA	PF01361;COG1942;TIGR00013;K15552	Phenylpyruvate tautomerase PptA, 4-oxalocrotonate tautomerase family
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_409434_51	51102	51389	288	1	0.559	11	AGxAG	GENOMAD.153150.CP	4.569e-18	80	0	0	0	1	NA	NA	NA	PF00111;TIGR01941;COG0633;K23527	NADH:ubiquinone oxidoreductase, Na(+)-translocating, F subunit
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_409434_52	51403	52908	1506	1	0.599	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_409434_53	52963	53739	777	1	0.611	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_409434_54	53800	54840	1041	-1	0.626	11	GGA/GAG/AGG	GENOMAD.138179.CP	1.419e-08	59	0	0	0	1	NA	NA	NA	PF05138;PF00175;K02613;TIGR02158;COG3396	phenylacetate-CoA oxygenase, PaaI subunit
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_409434_55	54920	56023	1104	-1	0.610	11	GGAG/GAGG	GENOMAD.208045.VC	6.793e-08	57	0	0	0	1	NA	NA	NA	K15757	NA
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_409434_56	56114	57970	1857	-1	0.592	11	None	GENOMAD.141017.CP	1.765e-11	70	0	0	0	2561	Caudoviricetes	NA	NA	PF14905;PF07715;K16090;COG4774;TIGR01776	Outer membrane receptor for monomeric catechols
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_754443_1	3	158	156	-1	0.628	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_754443_2	475	1575	1101	1	0.605	11	GGxGG	GENOMAD.130714.CP	8.931e-34	137	0	0	0	1	NA	NA	NA	PF06080;COG4798;TIGR02752;K18897	Predicted methyltransferase
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_754443_3	1621	1995	375	1	0.627	11	None	GENOMAD.086762.PP	0.0004422	41	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_754443_4	2161	2652	492	1	0.569	11	None	GENOMAD.170370.PC	1.064e-06	50	0	0	0	1	NA	NA	NA	PF00116;COG4454;TIGR04339;K02638	Uncharacterized copper-binding protein, cupredoxin-like subfamily
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_754443_5	2777	3097	321	1	0.623	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_754443_6	3131	3478	348	1	0.598	11	AGGAG	GENOMAD.123328.PC	1.305e-15	74	0	0	0	1	NA	NA	NA	PF11604;COG5569	Periplasmic Cu and Ag efflux protein CusF
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_754443_7	3560	4837	1278	1	0.650	11	AGGAG	GENOMAD.137505.CP	2.582e-84	288	0	0	0	1	NA	NA	NA	PF02321;K15725;TIGR01845;COG1538	efflux transporter, outer membrane factor (OMF) lipoprotein, NodT family
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_754443_8	4834	6423	1590	1	0.610	11	GGA/GAG/AGG	GENOMAD.123340.CP	1.641e-59	219	0	0	0	1	NA	NA	NA	PF16576;PF11604;K07798;TIGR01730;COG0845	Barrel-sandwich domain of CusB or HlyD membrane-fusion; Copper binding periplasmic protein CusF
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_754443_9	6434	9571	3138	1	0.604	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_754443_10	9639	11168	1530	1	0.650	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_754443_11	11165	12064	900	1	0.604	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_754443_12	12168	12953	786	1	0.588	11	GGA/GAG/AGG	GENOMAD.179536.CP	7.807e-40	151	0	0	0	1	NA	NA	NA	COG4313;K20326	NA
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_754443_13	12969	13187	219	-1	0.580	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_1433079_1	434	613	180	-1	0.450	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_1433079_2	1208	1477	270	-1	0.459	11	GGAG/GAGG	GENOMAD.098736.PP	6.681e-12	62	0	0	0	1	NA	NA	NA	K07039	NA
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_1433079_3	2054	3391	1338	-1	0.664	11	GGA/GAG/AGG	GENOMAD.171732.CP	0.0002359	46	0	0	0	1	NA	NA	NA	PF05139;K06880;COG2312	Erythromycin esterase homolog
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_1433079_4	3370	5778	2409	-1	0.605	11	None	GENOMAD.121750.CP	4.333e-10	66	0	0	0	1	NA	NA	NA	PF00384;K22516;COG3383;TIGR00509	Predicted molibdopterin-dependent oxidoreductase YjgC
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_1722042_1	214	1182	969	1	0.630	11	GGAGG	GENOMAD.213874.PC	3.834e-06	51	0	0	0	1	NA	NA	NA	PF03401;K07795	Tripartite tricarboxylate transporter family receptor
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_1722042_2	1475	2008	534	1	0.639	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_1722042_3	2005	2247	243	1	0.617	11	GGA/GAG/AGG	GENOMAD.190173.PC	1.126e-10	58	0	0	0	1	NA	NA	NA	PF10706;COG4849	Predicted nucleotidyltransferase
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_1722042_4	2296	2715	420	1	0.590	11	None	GENOMAD.190173.PC	6.613e-25	102	0	0	0	1	NA	NA	NA	PF10706;COG4849	Predicted nucleotidyltransferase
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_1722042_5	2763	3818	1056	1	0.631	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_1722042_6	3866	4636	771	-1	0.633	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_1722042_7	4653	4775	123	-1	0.537	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_1949681_1	1	126	126	-1	0.651	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_1949681_2	172	579	408	-1	0.613	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_1949681_3	608	2794	2187	-1	0.606	11	GGAG/GAGG	GENOMAD.129297.CP	1.648e-32	139	0	0	0	2561	Caudoviricetes	NA	NA	K15721;COG4773	Outer membrane receptor for ferric coprogen and ferric-rhodotorulic acid
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_1949681_4	2835	3422	588	-1	0.602	11	GGAG/GAGG	GENOMAD.154855.CP	3.63e-17	82	0	0	0	1	NA	NA	NA	PF01323;K14584;COG3917	DSBA-like thioredoxin domain
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_1949681_5	3419	4681	1263	-1	0.606	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_1949681_6	4706	5194	489	-1	0.579	11	AGGAG	GENOMAD.181088.PC	9.386e-22	94	0	0	0	1	NA	NA	NA	PF00866;K16320;TIGR03232;COG5517	benzoate 1,2-dioxygenase, small subunit
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_1949681_7	5194	5520	327	-1	0.572	11	GGA/GAG/AGG	GENOMAD.143067.CP	2.415e-14	70	0	0	0	1	NA	NA	NA	PF13806;K14578;COG2146;TIGR02377	Ferredoxin subunit of nitrite reductase or a ring-hydroxylating dioxygenase
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_1949681_8	5566	6465	900	-1	0.630	11	GGAG/GAGG	GENOMAD.180924.PC	5.591e-138	437	0	0	0	1	NA	NA	NA	PF19581;K14751;TIGR03213;COG2514	2,3-dihydroxybiphenyl 1,2-dioxygenase
91614_DAStool_bin130.fa_plasmid_genes.tsv k99_1949681_9	6696	8114	1419	1	0.600	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
