gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description filename
91614_DAStool_bin128.fa_virus_genes.tsv k99_815732_3	1961	2533	573	1	0.731	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin128.fa_virus_genes.tsv k99_815732_4	2633	3133	501	1	0.745	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin128.fa_virus_genes.tsv k99_815732_5	3130	3903	774	1	0.753	11	GGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin128.fa_virus_genes.tsv k99_815732_6	4047	4571	525	1	0.731	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin128.fa_virus_genes.tsv k99_871541_1	2	808	807	1	0.679	11	None	GENOMAD.023558.VV	6.812e-85	282	0	0	1	2561	Caudoviricetes	NA	NA	PF05136;TIGR01539;COG5511	phage portal protein, lambda family
91614_DAStool_bin128.fa_virus_genes.tsv k99_871541_2	789	2741	1953	1	0.695	11	GGAG/GAGG	GENOMAD.213136.VV	2.103e-124	415	0	0	1	2561	Caudoviricetes	NA	NA	PF04586;PF10124;TIGR01543;COG3740	phage prohead protease, HK97 family
91614_DAStool_bin128.fa_virus_genes.tsv k99_871541_3	2790	3119	330	1	0.673	11	AGGAG	GENOMAD.028818.VV	1.114e-30	117	0	0	0	2561	Caudoviricetes	NA	NA	PF09956;COG5471	Predicted phage recombinase, RecA/RadA family
91614_DAStool_bin128.fa_virus_genes.tsv k99_871541_4	3127	3516	390	1	0.692	11	GGA/GAG/AGG	GENOMAD.075202.VV	1.661e-35	132	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
91614_DAStool_bin128.fa_virus_genes.tsv k99_871541_5	3513	3719	207	1	0.667	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin135.fa_virus_genes.tsv k99_1622994_1	1	1293	1293	-1	0.708	11	GGAG/GAGG	GENOMAD.094997.VV	1.095e-08	60	0	0	0	2561	Caudoviricetes	NA	NA	PF16203;K19789;COG3189	Uncharacterized conserved protein YeaO, DUF488 family
91614_DAStool_bin135.fa_virus_genes.tsv k99_1622994_2	1535	2548	1014	1	0.728	11	GGA/GAG/AGG	GENOMAD.213189.VP	1.159e-07	56	0	0	0	2561	Caudoviricetes	NA	NA	COG1658;TIGR00334	NA
91614_DAStool_bin138.fa_virus_genes.tsv k99_564953_1	3	1865	1863	1	0.542	11	None	GENOMAD.013210.VV	2.067e-40	163	0	0	1	2561	Caudoviricetes	NA	NA	PF00211;PF08994;PF08993;COG2114	Adenylate and Guanylate cyclase catalytic domain; T4 gene Gp59 loader of gp41 DNA helicase C-term; T4 gene Gp59 loader of gp41 DNA helicase
91614_DAStool_bin138.fa_virus_genes.tsv k99_564953_2	1867	3564	1698	1	0.530	11	GGA/GAG/AGG	GENOMAD.171415.PC	2.866e-28	124	0	0	0	1	NA	NA	NA	PF03865;COG2831;K07326;TIGR03303	Hemolysin activation/secretion protein
91614_DAStool_bin138.fa_virus_genes.tsv k99_564953_3	3564	6350	2787	1	0.488	11	None	GENOMAD.104582.VV	4.457e-16	86	0	0	0	3032	Kyanoviridae	NA	NA	NA	NA
91614_DAStool_bin140.fa_virus_genes.tsv k99_274634_1	56	796	741	-1	0.395	11	GGAG/GAGG	GENOMAD.105984.VV	2.516e-23	102	0	0	0	2561	Caudoviricetes	NA	NA	PF02945	Recombination endonuclease VII
91614_DAStool_bin140.fa_virus_genes.tsv k99_274634_2	956	1870	915	-1	0.493	11	AGGAG	GENOMAD.063565.VV	3.011e-182	565	0	0	1	2561	Caudoviricetes	NA	NA	PF10124;COG4397	Mu-like prophage major head subunit gpT
91614_DAStool_bin140.fa_virus_genes.tsv k99_573895_1	3	5402	5400	-1	0.337	11	None	GENOMAD.133916.VV	2.362e-212	716	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin140.fa_virus_genes.tsv k99_1050407_1	1	456	456	-1	0.447	11	None	GENOMAD.054726.VV	1.515e-71	237	0	0	1	2561	Caudoviricetes	NA	NA	PF05119;COG3747;TIGR01558	Phage terminase, small subunit
91614_DAStool_bin140.fa_virus_genes.tsv k99_1050407_2	571	948	378	-1	0.452	11	None	GENOMAD.013759.VV	2.959e-19	85	0	0	0	2561	Caudoviricetes	NA	NA	PF16786	Recombination enhancement, RecA-dependent nuclease
91614_DAStool_bin140.fa_virus_genes.tsv k99_1050407_3	1021	1395	375	-1	0.400	11	AGGAG	GENOMAD.016368.VV	1.619e-33	126	0	0	0	2561	Caudoviricetes	NA	NA	PF19174	NA
91614_DAStool_bin140.fa_virus_genes.tsv k99_1050407_4	1395	2063	669	-1	0.433	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin140.fa_virus_genes.tsv k99_1050407_5	2038	2424	387	-1	0.426	11	None	GENOMAD.170787.VC	1.067e-14	72	0	0	0	2561	Caudoviricetes	NA	NA	PF00156;COG2236;TIGR01203	Hypoxanthine phosphoribosyltransferase
91614_DAStool_bin140.fa_virus_genes.tsv k99_1050407_6	2421	2861	441	-1	0.401	11	GGA/GAG/AGG	GENOMAD.213727.VV	9.214e-15	73	0	0	0	2561	Caudoviricetes	NA	NA	PF01242;COG0720;TIGR00039	6-pyruvoyl-tetrahydropterin synthase
91614_DAStool_bin140.fa_virus_genes.tsv k99_1050407_7	2858	3517	660	-1	0.430	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin140.fa_virus_genes.tsv k99_1050407_8	3504	4259	756	-1	0.434	11	AGGA	GENOMAD.181609.VC	0.0003561	44	0	0	0	2561	Caudoviricetes	NA	NA	PF06508;TIGR00364;COG0603;K21947	queuosine biosynthesis protein QueC
91614_DAStool_bin140.fa_virus_genes.tsv k99_1050407_9	4256	4672	417	-1	0.381	11	None	GENOMAD.223080.VP	9.49e-11	61	0	0	0	1	NA	NA	NA	PF13420;TIGR02406;COG1247;K18815	diaminobutyrate acetyltransferase
91614_DAStool_bin140.fa_virus_genes.tsv k99_1313159_1	1	1488	1488	1	0.546	11	None	GENOMAD.145799.VP	1.005e-228	710	0	0	1	2561	Caudoviricetes	NA	NA	PF03354;PF20441;PF13395;COG4626;TIGR01547	Phage terminase-like protein, large subunit, contains N-terminal HTH domain
91614_DAStool_bin140.fa_virus_genes.tsv k99_1313159_2	1575	2699	1125	1	0.525	11	AGxAG	GENOMAD.005429.VV	1.241e-90	304	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
91614_DAStool_bin140.fa_virus_genes.tsv k99_1313159_3	2696	4291	1596	1	0.540	11	AGGAG	GENOMAD.014554.VV	6.485e-70	250	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
91614_DAStool_bin140.fa_virus_genes.tsv k99_1313159_4	4313	4945	633	1	0.542	11	GGA/GAG/AGG	GENOMAD.028061.VV	3.406e-65	222	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
91614_DAStool_bin140.fa_virus_genes.tsv k99_1313159_5	4945	5307	363	1	0.534	11	None	GENOMAD.030215.VV	3.428e-64	214	0	0	0	2561	Caudoviricetes	NA	NA	COG0492	NA
91614_DAStool_bin140.fa_virus_genes.tsv k99_1313159_6	5364	5792	429	1	0.548	11	AGGAG	GENOMAD.008715.VV	9.506e-31	119	0	0	1	2561	Caudoviricetes	NA	NA	PF06199;TIGR02126;COG5437	Phage tail tube protein
91614_DAStool_bin140.fa_virus_genes.tsv k99_1313159_7	5823	6122	300	1	0.513	11	AGGAG	GENOMAD.035915.VV	1.179e-25	102	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
91614_DAStool_bin140.fa_virus_genes.tsv k99_1313159_8	6234	6347	114	1	0.430	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin140.fa_virus_genes.tsv k99_1391641_1	2	235	234	1	0.564	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin140.fa_virus_genes.tsv k99_1391641_2	235	1086	852	1	0.573	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin140.fa_virus_genes.tsv k99_1391641_3	1086	3506	2421	1	0.523	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin140.fa_virus_genes.tsv k99_1391641_4	3503	3727	225	1	0.551	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin140.fa_virus_genes.tsv k99_1391641_5	3727	3786	60	1	0.550	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin140.fa_virus_genes.tsv k99_1643443_1	3	164	162	1	0.500	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin140.fa_virus_genes.tsv k99_1643443_2	139	1350	1212	1	0.587	11	GGAGG	GENOMAD.026355.VV	2.432e-21	100	0	0	1	2561	Caudoviricetes	NA	NA	PF20307;TIGR02238	Divergent DnaB-like ATPase
91614_DAStool_bin155.fa_virus_genes.tsv k99_388317_1	1	453	453	-1	0.514	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin155.fa_virus_genes.tsv k99_388317_2	487	2550	2064	-1	0.500	11	None	GENOMAD.118337.VC	8.06e-18	91	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
91614_DAStool_bin155.fa_virus_genes.tsv k99_1001834_1	92	313	222	-1	0.477	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin155.fa_virus_genes.tsv k99_1001834_2	319	663	345	-1	0.513	11	ATA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin155.fa_virus_genes.tsv k99_1001834_3	760	1947	1188	-1	0.512	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin155.fa_virus_genes.tsv k99_1001834_4	2107	2682	576	-1	0.509	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin155.fa_virus_genes.tsv k99_1136123_1	227	1165	939	1	0.540	11	ATA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin155.fa_virus_genes.tsv k99_1136123_2	1178	2035	858	1	0.499	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin155.fa_virus_genes.tsv k99_1136123_3	2136	2894	759	1	0.576	11	None	GENOMAD.092820.VV	3.307e-18	87	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
91614_DAStool_bin155.fa_virus_genes.tsv k99_1453944_1	3	155	153	-1	0.490	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin155.fa_virus_genes.tsv k99_1453944_2	152	2131	1980	-1	0.503	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin155.fa_virus_genes.tsv k99_1453944_3	2128	2895	768	-1	0.556	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin155.fa_virus_genes.tsv k99_1453944_4	2993	4456	1464	1	0.503	11	None	GENOMAD.144986.VV	9.514e-07	54	0	0	0	2561	Caudoviricetes	NA	NA	PF01743;TIGR01942;K00970;COG0617	poly(A) polymerase
91614_DAStool_bin155.fa_virus_genes.tsv k99_1542700_1	3	2042	2040	1	0.534	11	None	GENOMAD.009903.VV	5.643e-09	62	0	0	1	2561	Caudoviricetes	NA	NA	PF13550;COG4733	Phage-related protein, tail component
91614_DAStool_bin155.fa_virus_genes.tsv k99_2435995_1	3	1166	1164	1	0.515	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin155.fa_virus_genes.tsv k99_2435995_2	1166	2113	948	1	0.527	11	ATA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin155.fa_virus_genes.tsv k99_2435995_3	2172	2459	288	1	0.517	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin155.fa_virus_genes.tsv k99_2435995_4	2452	2883	432	1	0.544	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin19.fa_virus_genes.tsv k99_131320_1	3	272	270	-1	0.522	11	AGGA	GENOMAD.079238.VV	1.281e-05	44	0	0	0	2561	Caudoviricetes	NA	NA	PF14582;TIGR03729;COG1768;K07099	putative phosphoesterase
91614_DAStool_bin19.fa_virus_genes.tsv k99_131320_2	342	1829	1488	-1	0.626	11	AGGAG	GENOMAD.111070.VC	4.004e-06	52	0	0	0	2561	Caudoviricetes	NA	NA	PF13203;PF16786;COG3864	Putative metallopeptidase domain; Recombination enhancement, RecA-dependent nuclease
91614_DAStool_bin19.fa_virus_genes.tsv k99_131320_3	1859	2230	372	-1	0.616	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin19.fa_virus_genes.tsv k99_131320_4	2314	3117	804	-1	0.643	11	None	GENOMAD.070227.VV	0.0004064	44	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
91614_DAStool_bin19.fa_virus_genes.tsv k99_2365999_1	3	401	399	-1	0.667	11	GGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin19.fa_virus_genes.tsv k99_2365999_2	398	1675	1278	-1	0.648	11	None	GENOMAD.189983.VC	6.379e-06	51	0	0	0	2561	Caudoviricetes	NA	NA	PF00984;PF03720	UDP-glucose/GDP-mannose dehydrogenase family, central domain; UDP-glucose/GDP-mannose dehydrogenase family, UDP binding domain
91614_DAStool_bin19.fa_virus_genes.tsv k99_2365999_3	1757	2959	1203	1	0.543	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin19.fa_virus_genes.tsv k99_2365999_4	2956	3810	855	-1	0.547	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin19.fa_virus_genes.tsv k99_2365999_5	3840	4067	228	-1	0.518	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin19.fa_virus_genes.tsv k99_2365999_6	4064	4951	888	-1	0.551	11	None	GENOMAD.224378.VP	2.774e-05	48	0	0	0	11844	Phycodnaviridae	NA	NA	NA	NA
91614_DAStool_bin225.fa_virus_genes.tsv k99_328872_1	3	1232	1230	1	0.346	11	None	GENOMAD.140562.VV	7.387e-71	248	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
91614_DAStool_bin225.fa_virus_genes.tsv k99_328872_2	1238	1756	519	1	0.304	11	ATTTA	GENOMAD.085075.VV	2.809e-06	49	0	0	0	1	NA	NA	NA	PF14301	NA
91614_DAStool_bin225.fa_virus_genes.tsv k99_328872_3	1756	2025	270	1	0.307	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin225.fa_virus_genes.tsv k99_328872_4	2015	2629	615	1	0.272	11	ATA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin225.fa_virus_genes.tsv k99_328872_5	2629	3294	666	1	0.254	11	ATATA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin225.fa_virus_genes.tsv k99_328872_6	3291	3491	201	1	0.219	11	ATA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin225.fa_virus_genes.tsv k99_328872_7	3481	3732	252	1	0.282	11	ATA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin225.fa_virus_genes.tsv k99_328872_8	3910	4368	459	1	0.325	11	ATA	GENOMAD.190893.VV	3.953e-05	45	0	0	0	2561	Caudoviricetes	NA	NA	PF05951;K08640	Bacterial protein of unknown function (DUF882)
91614_DAStool_bin225.fa_virus_genes.tsv k99_328872_9	4365	4679	315	1	0.251	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin225.fa_virus_genes.tsv k99_328872_10	4691	5212	522	1	0.377	11	ATA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin225.fa_virus_genes.tsv k99_328872_11	5493	5954	462	-1	0.279	11	TATA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin225.fa_virus_genes.tsv k99_328872_12	5944	6180	237	-1	0.190	11	ATATA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin225.fa_virus_genes.tsv k99_328872_13	6177	6314	138	-1	0.283	11	TATA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin225.fa_virus_genes.tsv k99_328872_14	6292	6441	150	-1	0.253	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin231.fa_virus_genes.tsv k99_689206_1	3	1688	1686	-1	0.597	11	None	GENOMAD.032182.VV	2.613e-34	143	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin231.fa_virus_genes.tsv k99_689206_2	1685	2809	1125	-1	0.582	11	GGAG/GAGG	GENOMAD.013125.VV	2.076e-15	81	0	0	0	2561	Caudoviricetes	NA	NA	PF18454	Major tropism determinant N-terminal domain
91614_DAStool_bin231.fa_virus_genes.tsv k99_689206_3	2849	3079	231	1	0.636	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin231.fa_virus_genes.tsv k99_704703_1	3	773	771	-1	0.604	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin231.fa_virus_genes.tsv k99_704703_2	888	4004	3117	1	0.610	11	AGxAGG/AGGxGG	GENOMAD.092260.VV	2.61e-16	87	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
91614_DAStool_bin26.fa_virus_genes.tsv k99_594397_1	3	2528	2526	1	0.678	11	None	GENOMAD.068115.VV	0.0001357	48	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
91614_DAStool_bin44.fa_virus_genes.tsv k99_52869_1	2	199	198	1	0.652	11	None	GENOMAD.141978.VV	6.737e-31	115	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin44.fa_virus_genes.tsv k99_52869_2	199	387	189	1	0.556	11	GGAG/GAGG	GENOMAD.222388.VP	2.417e-17	76	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
91614_DAStool_bin44.fa_virus_genes.tsv k99_52869_3	402	875	474	1	0.572	11	GGAGG	GENOMAD.096056.VV	4.422e-05	45	0	0	0	3337	Mesyanzhinovviridae	NA	NA	PF11994	NA
91614_DAStool_bin44.fa_virus_genes.tsv k99_52869_4	824	2089	1266	-1	0.565	11	GGA/GAG/AGG	GENOMAD.208446.VP	1.517e-64	230	0	0	0	2561	Caudoviricetes	NA	NA	PF01555;COG4725;K13581	N6-adenosine-specific RNA methylase IME4
91614_DAStool_bin44.fa_virus_genes.tsv k99_52869_5	2330	2842	513	-1	0.556	11	3Base/5BMM	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin44.fa_virus_genes.tsv k99_52869_6	2839	2985	147	-1	0.585	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin44.fa_virus_genes.tsv k99_188029_1	3	749	747	1	0.561	11	None	GENOMAD.025133.VV	2.226e-07	54	0	0	1	2561	Caudoviricetes	NA	NA	PF09588;COG5377;TIGR03033	Phage-related protein, predicted endonuclease
91614_DAStool_bin44.fa_virus_genes.tsv k99_188029_2	752	976	225	1	0.524	11	AGxAGG/AGGxGG	GENOMAD.060776.VV	3.826e-33	122	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
91614_DAStool_bin44.fa_virus_genes.tsv k99_188029_3	973	1824	852	1	0.574	11	GGA/GAG/AGG	GENOMAD.106601.VV	1.147e-30	125	0	0	0	2561	Caudoviricetes	NA	NA	PF03837;TIGR00616;K07455;COG3723	recombinase, phage RecT family
91614_DAStool_bin44.fa_virus_genes.tsv k99_188029_4	1790	1984	195	1	0.533	11	AGGAG	GENOMAD.223798.VP	6.829e-09	52	0	0	0	1	NA	NA	NA	PF06806;COG3311;TIGR01764	Putative excisionase (DUF1233)
91614_DAStool_bin44.fa_virus_genes.tsv k99_188029_5	1997	2260	264	1	0.519	11	AGGA	GENOMAD.053634.VV	1.178e-35	130	0	0	0	2561	Caudoviricetes	NA	NA	PF20404;COG3017;TIGR03066	Outer membrane lipoprotein LolB, involved in outer membrane biogenesis
91614_DAStool_bin44.fa_virus_genes.tsv k99_188029_6	2270	2341	72	1	0.528	11	AGGAG	GENOMAD.160925.VP	5.651e-06	41	0	0	0	2561	Caudoviricetes	NA	NA	PF04404	ERF superfamily
91614_DAStool_bin44.fa_virus_genes.tsv k99_505108_1	1	423	423	1	0.570	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin44.fa_virus_genes.tsv k99_505108_2	420	1943	1524	1	0.565	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin44.fa_virus_genes.tsv k99_505108_3	1943	2323	381	1	0.528	11	GGA/GAG/AGG	GENOMAD.223718.VP	3.99e-41	148	0	0	0	1	NA	NA	NA	PF09949;TIGR01689;COG0241;K21064	Phosphatidate phosphatase APP1, catalytic domain
91614_DAStool_bin44.fa_virus_genes.tsv k99_505108_4	2326	3225	900	1	0.526	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin44.fa_virus_genes.tsv k99_505108_5	3243	3725	483	1	0.408	11	3Base/5BMM	GENOMAD.223913.VP	6.679e-15	74	0	0	0	1	NA	NA	NA	PF03269;COG4627;TIGR02072	Predicted SAM-depedendent methyltransferase
91614_DAStool_bin44.fa_virus_genes.tsv k99_1118310_1	1	669	669	1	0.596	11	None	GENOMAD.124193.VP	3.035e-72	243	0	0	1	2561	Caudoviricetes	NA	NA	PF05100;TIGR01600;COG4672	lambda-like phage minor tail protein L
91614_DAStool_bin44.fa_virus_genes.tsv k99_1118310_2	669	1385	717	1	0.607	11	None	GENOMAD.168265.VP	1.022e-74	251	0	0	0	2561	Caudoviricetes	NA	NA	PF14464;COG1310;K21140;TIGR02256	Proteasome lid subunit RPN8/RPN11, contains Jab1/MPN domain metalloenzyme (JAMM) motif
91614_DAStool_bin44.fa_virus_genes.tsv k99_1118310_3	1360	1953	594	1	0.613	11	None	GENOMAD.132578.VP	4.666e-37	140	0	0	1	2561	Caudoviricetes	NA	NA	PF06805;COG4723;TIGR01687;K03636	Phage-related protein, tail component
91614_DAStool_bin44.fa_virus_genes.tsv k99_1118310_4	1950	3056	1107	1	0.602	11	None	GENOMAD.140860.VP	1.239e-107	353	0	0	1	2561	Caudoviricetes	NA	NA	PF13550;COG4733	Phage-related protein, tail component
91614_DAStool_bin44.fa_virus_genes.tsv k99_1713614_1	1	285	285	1	0.530	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin44.fa_virus_genes.tsv k99_1713614_2	282	1208	927	1	0.581	11	GGA/GAG/AGG	GENOMAD.158311.VV	4.923e-19	91	0	0	1	2561	Caudoviricetes	NA	NA	PF05135;TIGR02215	phage conserved hypothetical protein, phiE125 gp8 family
91614_DAStool_bin44.fa_virus_genes.tsv k99_1713614_3	1336	2652	1317	1	0.556	11	GGAG/GAGG	GENOMAD.092606.VV	1.674e-108	359	0	0	1	2561	Caudoviricetes	NA	NA	PF05065;COG4653;TIGR01554	Predicted phage phi-C31 gp36 major capsid-like protein
91614_DAStool_bin44.fa_virus_genes.tsv k99_1713614_4	2682	3131	450	1	0.569	11	AGGAG	GENOMAD.053461.VV	4.122e-43	155	0	0	0	1	NA	NA	NA	NA	NA
91614_DAStool_bin44.fa_virus_genes.tsv k99_1713614_5	3153	3719	567	1	0.559	11	GGAG/GAGG	GENOMAD.158311.VV	3.187e-98	316	0	0	1	2561	Caudoviricetes	NA	NA	PF05135;TIGR02215	phage conserved hypothetical protein, phiE125 gp8 family
91614_DAStool_bin44.fa_virus_genes.tsv k99_1716993_1	3	2213	2211	-1	0.603	11	None	GENOMAD.162287.VP	1.488e-103	357	0	0	1	2561	Caudoviricetes	NA	NA	PF13550;COG4733	Phage-related protein, tail component
91614_DAStool_bin44.fa_virus_genes.tsv k99_2242715_1	1	165	165	-1	0.533	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
