seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes filename
91614_DAStool_bin138.fa_plasmid_summary.tsv k99_200370	3482	No terminal repeats	5	11	0.8427	NA	0	0.5165	NA	NA
91614_DAStool_bin138.fa_plasmid_summary.tsv k99_481925	11043	No terminal repeats	11	11	0.8393	NA	0	1.2861	NA	NA
91614_DAStool_bin138.fa_plasmid_summary.tsv k99_2750952	3329	No terminal repeats	5	11	0.8184	NA	0	0.5212	NA	NA
91614_DAStool_bin138.fa_plasmid_summary.tsv k99_223349	3532	No terminal repeats	5	11	0.8104	NA	0	1.0569	NA	NF000088
91614_DAStool_bin138.fa_plasmid_summary.tsv k99_3027413	11400	No terminal repeats	8	11	0.7979	NA	0	0.8575	NA	NA
91614_DAStool_bin138.fa_plasmid_summary.tsv k99_764277	13700	No terminal repeats	13	11	0.7894	NA	0	2.4701	NA	NF033135
91614_DAStool_bin138.fa_plasmid_summary.tsv k99_1328757	6979	No terminal repeats	7	11	0.7778	NA	0	0.5707	NA	NA
91614_DAStool_bin138.fa_plasmid_summary.tsv k99_3000175	2501	No terminal repeats	3	11	0.7430	NA	0	0.4728	NA	NA
91614_DAStool_bin138.fa_plasmid_summary.tsv k99_61759	9799	No terminal repeats	9	11	0.7252	NA	0	0.8752	NA	NA
91614_DAStool_bin140.fa_plasmid_summary.tsv k99_836722	12109	No terminal repeats	9	11	0.7080	NA	0	1.2639	NA	NA
91614_DAStool_bin155.fa_plasmid_summary.tsv k99_140332	4547	No terminal repeats	4	11	0.9258	NA	0	3.2704	NA	NA
91614_DAStool_bin19.fa_plasmid_summary.tsv k99_1928928	4416	No terminal repeats	8	11	0.9852	NA	0	7.3219	NA	NA
91614_DAStool_bin231.fa_plasmid_summary.tsv k99_1232405	9125	No terminal repeats	9	11	0.9382	NA	0	3.1015	NA	NA
91614_DAStool_bin231.fa_plasmid_summary.tsv k99_788993	6973	No terminal repeats	10	11	0.8371	NA	0	2.2617	NA	NF012178
91614_DAStool_bin231.fa_plasmid_summary.tsv k99_472844	30204	No terminal repeats	34	11	0.8276	NA	0	1.7456	NA	NF000496
91614_DAStool_bin26.fa_plasmid_summary.tsv k99_2961087	2521	No terminal repeats	2	11	0.7884	NA	0	0.9894	NA	NA
91614_DAStool_bin44.fa_plasmid_summary.tsv k99_201600	3429	No terminal repeats	5	11	0.9836	NA	0	3.2644	NA	NA
91614_DAStool_bin44.fa_plasmid_summary.tsv k99_59025	5168	No terminal repeats	7	11	0.9778	NA	0	1.8689	NA	NA
91614_DAStool_bin44.fa_plasmid_summary.tsv k99_1649859	7495	No terminal repeats	9	11	0.9775	NA	0	0.0057	NA	NA
91614_DAStool_bin44.fa_plasmid_summary.tsv k99_2708826	12251	No terminal repeats	16	11	0.9713	NA	0	1.6582	NA	NF033117
91614_DAStool_bin44.fa_plasmid_summary.tsv k99_1644812	3802	No terminal repeats	5	11	0.9390	NA	0	1.4458	NA	NA
91614_DAStool_bin44.fa_plasmid_summary.tsv k99_871410	2849	No terminal repeats	5	11	0.8897	NA	0	2.5353	NA	NA
91614_DAStool_bin44.fa_plasmid_summary.tsv k99_2527359	3140	No terminal repeats	5	11	0.8824	NA	1	1.2537	NA	NA
91614_DAStool_bin44.fa_plasmid_summary.tsv k99_1579192	9167	No terminal repeats	8	11	0.8028	NA	0	2.4617	NA	NA
91614_DAStool_bin44.fa_plasmid_summary.tsv k99_97382	6955	No terminal repeats	6	11	0.7123	NA	0	2.5406	NA	NA
91614_DAStool_bin44.fa_plasmid_summary.tsv k99_935289	4538	No terminal repeats	6	11	0.7069	NA	0	0.3055	NA	NA
91614_DAStool_bin57.fa_plasmid_summary.tsv k99_307375	4503	No terminal repeats	4	11	0.9711	NA	0	2.8157	NA	NA
91614_DAStool_bin57.fa_plasmid_summary.tsv k99_1130080	7424	No terminal repeats	8	11	0.9663	NA	0	1.4603	NA	NA
91614_DAStool_bin57.fa_plasmid_summary.tsv k99_574340	7151	No terminal repeats	6	11	0.8647	NA	0	1.8979	NA	NA
91614_DAStool_bin57.fa_plasmid_summary.tsv k99_1766690	6344	No terminal repeats	6	11	0.8356	NA	0	0.7342	NA	NA
91614_DAStool_bin57.fa_plasmid_summary.tsv k99_2856095	30093	No terminal repeats	31	11	0.7984	NA	1	3.9774	NA	NF033476
91614_DAStool_bin57.fa_plasmid_summary.tsv k99_2103255	8684	No terminal repeats	9	11	0.7908	NA	0	3.3091	NA	NA
91614_DAStool_bin57.fa_plasmid_summary.tsv k99_1733520	3052	No terminal repeats	2	11	0.7259	NA	0	0.0000	NA	NA
91614_DAStool_bin57.fa_plasmid_summary.tsv k99_897928	16613	No terminal repeats	12	11	0.7110	NA	0	0.5957	NA	NA
91614_DAStool_bin57.fa_plasmid_summary.tsv k99_1403789	2650	No terminal repeats	2	11	0.7107	NA	0	0.0000	NA	NA
91615_DAStool_bin11.fa_plasmid_summary.tsv k99_2419794	2583	No terminal repeats	5	11	0.7798	NA	0	0.0000	NA	NA
91615_DAStool_bin11.fa_plasmid_summary.tsv k99_1008180	5444	No terminal repeats	5	11	0.7735	NA	0	1.2600	NA	NA
91615_DAStool_bin11.fa_plasmid_summary.tsv k99_1161190	3244	No terminal repeats	5	11	0.7388	NA	0	1.8449	NA	NA
91615_DAStool_bin11.fa_plasmid_summary.tsv k99_1805155	7434	No terminal repeats	7	11	0.7195	NA	0	1.0953	NA	NA
91615_DAStool_bin17.fa_plasmid_summary.tsv k99_1595681	2862	No terminal repeats	3	11	0.8891	NA	0	0.0000	NA	NA
91615_DAStool_bin17.fa_plasmid_summary.tsv k99_580050	3733	No terminal repeats	4	11	0.8139	NA	0	0.7041	NA	NA
91615_DAStool_bin18.fa_plasmid_summary.tsv k99_977498	3484	No terminal repeats	6	11	0.7273	NA	0	0.2177	NA	NA
91615_DAStool_bin77.fa_plasmid_summary.tsv k99_989852	3597	No terminal repeats	4	11	0.7131	NA	0	0.0000	NA	NA
91615_DAStool_bin77.fa_plasmid_summary.tsv k99_2110623	3897	No terminal repeats	4	11	0.7053	NA	0	0.0000	NA	NA
91615_DAStool_bin98.fa_plasmid_summary.tsv k99_338759	6746	No terminal repeats	9	11	0.7042	NA	0	1.6493	NA	NA
91615_DAStool_bin9.fa_plasmid_summary.tsv k99_1062785	5286	No terminal repeats	4	11	0.9037	NA	0	0.8490	NA	NA
91615_DAStool_bin9.fa_plasmid_summary.tsv k99_1862771	6237	No terminal repeats	8	11	0.7844	NA	0	0.7313	NA	NA
91615_DAStool_bin9.fa_plasmid_summary.tsv k99_165863	3303	No terminal repeats	5	11	0.7707	NA	0	0.0000	NA	NA
91615_DAStool_bin9.fa_plasmid_summary.tsv k99_1151874	3170	No terminal repeats	3	11	0.7636	NA	0	0.0000	NA	NA
91615_DAStool_bin9.fa_plasmid_summary.tsv k99_2905758	3448	No terminal repeats	4	11	0.7107	NA	0	0.3649	NA	NA
91616_DAStool_bin103.fa_plasmid_summary.tsv k99_1628555	14979	No terminal repeats	17	11	0.8780	NA	0	4.0240	NA	NA
91616_DAStool_bin103.fa_plasmid_summary.tsv k99_1234846	3024	No terminal repeats	5	11	0.7236	NA	0	1.0263	NA	NA
91616_DAStool_bin107.fa_plasmid_summary.tsv k99_316975	8011	No terminal repeats	7	11	0.7891	NA	0	1.3526	NA	NA
91616_DAStool_bin110.fa_plasmid_summary.tsv k99_653072	3398	No terminal repeats	3	11	0.7924	NA	0	1.3484	NA	NA
91616_DAStool_bin120.fa_plasmid_summary.tsv k99_1720338	5823	No terminal repeats	6	11	0.8745	NA	0	3.2704	NA	NA
91616_DAStool_bin125.fa_plasmid_summary.tsv k99_315977	3484	No terminal repeats	8	11	0.8673	NA	0	4.0553	NA	NA
91616_DAStool_bin125.fa_plasmid_summary.tsv k99_1231299	2993	No terminal repeats	4	11	0.7356	NA	0	0.8399	NA	NA
91616_DAStool_bin127.fa_plasmid_summary.tsv k99_254981	5837	No terminal repeats	7	11	0.8707	NA	0	2.2695	NA	NA
91616_DAStool_bin127.fa_plasmid_summary.tsv k99_33137	5239	No terminal repeats	4	11	0.8453	NA	0	0.2804	NA	NA
91616_DAStool_bin127.fa_plasmid_summary.tsv k99_547067	6849	No terminal repeats	6	11	0.8270	NA	0	0.7135	NA	NA
91616_DAStool_bin127.fa_plasmid_summary.tsv k99_634393	6559	No terminal repeats	8	11	0.8264	NA	0	1.4300	NA	NA
91616_DAStool_bin127.fa_plasmid_summary.tsv k99_1370391	2505	No terminal repeats	2	11	0.8210	NA	0	0.0000	NA	NA
91616_DAStool_bin127.fa_plasmid_summary.tsv k99_579926	9215	No terminal repeats	11	11	0.8015	NA	0	0.7617	NA	NA
91616_DAStool_bin127.fa_plasmid_summary.tsv k99_264727	3561	No terminal repeats	4	11	0.7925	NA	0	0.0000	NA	NA
91616_DAStool_bin127.fa_plasmid_summary.tsv k99_1053662	4521	No terminal repeats	3	11	0.7652	NA	0	0.0000	NA	NA
91616_DAStool_bin127.fa_plasmid_summary.tsv k99_891992	2549	No terminal repeats	4	11	0.7285	NA	0	0.5120	NA	NA
91616_DAStool_bin127.fa_plasmid_summary.tsv k99_700558	9907	No terminal repeats	13	11	0.7108	NA	0	2.0592	NA	NA
91616_DAStool_bin15.fa_plasmid_summary.tsv k99_368546	5835	No terminal repeats	9	11	0.8684	NA	0	0.2159	NA	NA
91616_DAStool_bin15.fa_plasmid_summary.tsv k99_567496	3457	No terminal repeats	2	11	0.7270	NA	0	1.2993	NA	NA
91616_DAStool_bin167.fa_plasmid_summary.tsv k99_66528	6629	No terminal repeats	8	11	0.9615	NA	0	1.4603	NA	NA
91616_DAStool_bin167.fa_plasmid_summary.tsv k99_307065	8043	No terminal repeats	9	11	0.9054	NA	0	1.8979	NA	NA
91616_DAStool_bin167.fa_plasmid_summary.tsv k99_270176	8920	No terminal repeats	9	11	0.8590	NA	0	3.3396	NA	NA
91616_DAStool_bin167.fa_plasmid_summary.tsv k99_207921	9392	No terminal repeats	11	11	0.8555	NA	1	1.1312	NA	NA
91616_DAStool_bin167.fa_plasmid_summary.tsv k99_453920	8695	No terminal repeats	9	11	0.7826	NA	0	3.3091	NA	NA
91616_DAStool_bin167.fa_plasmid_summary.tsv k99_726869	4911	No terminal repeats	6	11	0.7641	NA	0	0.0000	NA	NA
91616_DAStool_bin167.fa_plasmid_summary.tsv k99_1003323	3052	No terminal repeats	2	11	0.7259	NA	0	0.0000	NA	NA
91616_DAStool_bin167.fa_plasmid_summary.tsv k99_666166	2912	No terminal repeats	3	11	0.7077	NA	0	0.0000	NA	NA
91616_DAStool_bin179.fa_plasmid_summary.tsv k99_929332	4942	No terminal repeats	6	11	0.9205	NA	0	2.4901	NA	NA
91616_DAStool_bin179.fa_plasmid_summary.tsv k99_1584825	5480	No terminal repeats	8	11	0.8723	NA	0	2.5240	NA	NA
91616_DAStool_bin179.fa_plasmid_summary.tsv k99_1743526	3345	No terminal repeats	3	11	0.8312	NA	0	2.0804	NA	NA
91616_DAStool_bin179.fa_plasmid_summary.tsv k99_256935	3773	No terminal repeats	5	11	0.7884	NA	0	0.3826	NA	NA
91616_DAStool_bin179.fa_plasmid_summary.tsv k99_181516	6216	No terminal repeats	8	11	0.7489	NA	0	0.1364	NA	NA
91616_DAStool_bin179.fa_plasmid_summary.tsv k99_725510	3796	No terminal repeats	7	11	0.7292	NA	0	0.3733	NA	NF000496
91616_DAStool_bin179.fa_plasmid_summary.tsv k99_180502	6238	No terminal repeats	4	11	0.7253	NA	0	0.8504	NA	NA
91616_DAStool_bin21.fa_plasmid_summary.tsv k99_816480	3217	No terminal repeats	6	11	0.8586	NA	0	0.0000	NA	NA
91616_DAStool_bin46.fa_plasmid_summary.tsv k99_1036801	2736	No terminal repeats	6	11	0.9880	NA	0	5.7910	NA	NA
91616_DAStool_bin46.fa_plasmid_summary.tsv k99_401379	4775	No terminal repeats	5	11	0.8033	NA	0	1.0267	NA	NA
91616_DAStool_bin46.fa_plasmid_summary.tsv k99_234239	4453	No terminal repeats	5	11	0.7710	NA	0	0.2040	NA	NA
91616_DAStool_bin48.fa_plasmid_summary.tsv k99_447485	6927	No terminal repeats	11	11	0.9714	NA	0	5.6938	NA	NA
91616_DAStool_bin48.fa_plasmid_summary.tsv k99_1746398	3596	No terminal repeats	5	11	0.9528	NA	0	2.3498	NA	NA
91616_DAStool_bin48.fa_plasmid_summary.tsv k99_86177	14268	No terminal repeats	15	11	0.9458	NA	0	4.2313	NA	NF033134
91616_DAStool_bin48.fa_plasmid_summary.tsv k99_1412210	3959	No terminal repeats	5	11	0.9183	NA	0	0.9742	NA	NF000496
91616_DAStool_bin48.fa_plasmid_summary.tsv k99_957985	4448	No terminal repeats	9	11	0.8469	NA	0	0.6985	NA	NA
91616_DAStool_bin48.fa_plasmid_summary.tsv k99_1185453	3090	No terminal repeats	3	11	0.8345	NA	0	0.0000	NA	NA
91616_DAStool_bin48.fa_plasmid_summary.tsv k99_644157	10896	No terminal repeats	10	11	0.8099	NA	0	0.7420	NA	NA
91616_DAStool_bin48.fa_plasmid_summary.tsv k99_799551	3255	No terminal repeats	3	11	0.7863	NA	0	0.0000	NA	NA
91616_DAStool_bin48.fa_plasmid_summary.tsv k99_588234	3887	No terminal repeats	4	11	0.7749	NA	0	0.3073	NA	NA
91616_DAStool_bin48.fa_plasmid_summary.tsv k99_512872	4641	No terminal repeats	4	11	0.7743	NA	0	0.5369	NA	NA
91616_DAStool_bin48.fa_plasmid_summary.tsv k99_255664	2770	No terminal repeats	3	11	0.7525	NA	0	0.0000	NA	NA
91616_DAStool_bin48.fa_plasmid_summary.tsv k99_1745396	4241	No terminal repeats	5	11	0.7497	NA	0	0.0000	NA	NA
91616_DAStool_bin48.fa_plasmid_summary.tsv k99_698125	4431	No terminal repeats	6	11	0.7316	NA	0	0.3693	NA	NA
91616_DAStool_bin48.fa_plasmid_summary.tsv k99_941482	4191	No terminal repeats	3	11	0.7118	NA	0	0.0000	NA	NA
91616_DAStool_bin4.fa_plasmid_summary.tsv k99_474035	3596	No terminal repeats	6	11	0.8799	NA	0	2.3309	NA	NA
91616_DAStool_bin4.fa_plasmid_summary.tsv k99_97757	4994	No terminal repeats	4	11	0.8684	NA	0	0.0000	NA	NA
91616_DAStool_bin4.fa_plasmid_summary.tsv k99_1784475	3313	No terminal repeats	3	11	0.7972	NA	0	0.0000	NA	NA
91616_DAStool_bin4.fa_plasmid_summary.tsv k99_810231	5814	No terminal repeats	4	11	0.7767	NA	0	0.0000	NA	NA
91616_DAStool_bin4.fa_plasmid_summary.tsv k99_896761	8239	No terminal repeats	10	11	0.7598	NA	0	0.0000	NA	NA
91616_DAStool_bin4.fa_plasmid_summary.tsv k99_407612	6755	No terminal repeats	6	11	0.7575	NA	0	0.5169	NA	NA
91616_DAStool_bin4.fa_plasmid_summary.tsv k99_1438499	2597	No terminal repeats	1	11	0.7349	NA	0	0.0000	NA	NA
91616_DAStool_bin4.fa_plasmid_summary.tsv k99_203754	3636	No terminal repeats	4	11	0.7273	NA	0	0.0000	NA	NA
91616_DAStool_bin4.fa_plasmid_summary.tsv k99_588009	5300	No terminal repeats	6	11	0.7189	NA	0	0.0000	NA	NA
91616_DAStool_bin4.fa_plasmid_summary.tsv k99_1166769	2627	No terminal repeats	2	11	0.7096	NA	0	0.0000	NA	NA
91616_DAStool_bin4.fa_plasmid_summary.tsv k99_51194	3525	No terminal repeats	3	11	0.7043	NA	0	0.0000	NA	NA
91616_DAStool_bin58.fa_plasmid_summary.tsv k99_13032	4656	No terminal repeats	3	11	0.7288	NA	0	1.4745	NA	NA
91617_DAStool_bin63.fa_plasmid_summary.tsv k99_1316936	2562	No terminal repeats	5	11	0.7042	NA	0	0.0000	NA	NA
91617_DAStool_bin8.fa_plasmid_summary.tsv k99_621281	5591	No terminal repeats	6	11	0.7566	NA	0	1.7183	NA	NA
91618_DAStool_bin111.fa_plasmid_summary.tsv k99_344151	2760	No terminal repeats	3	11	0.8482	NA	0	0.0000	NA	NA
91618_DAStool_bin126.fa_plasmid_summary.tsv k99_1561430	3965	No terminal repeats	6	11	0.8545	NA	0	1.6590	NA	NA
91618_DAStool_bin155.fa_plasmid_summary.tsv k99_1270829	4724	No terminal repeats	6	11	0.9389	NA	0	0.8334	NA	NA
91618_DAStool_bin155.fa_plasmid_summary.tsv k99_1387000	10164	No terminal repeats	13	11	0.8993	NA	0	3.2909	NA	NA
91618_DAStool_bin155.fa_plasmid_summary.tsv k99_1687698	7889	No terminal repeats	9	11	0.8961	NA	0	3.7745	NA	NA
91618_DAStool_bin155.fa_plasmid_summary.tsv k99_1087191	3380	No terminal repeats	6	11	0.8616	NA	0	1.7183	NA	NA
91618_DAStool_bin155.fa_plasmid_summary.tsv k99_383623	5569	No terminal repeats	7	11	0.8528	NA	0	0.6740	NA	NA
91618_DAStool_bin155.fa_plasmid_summary.tsv k99_607829	12060	No terminal repeats	17	11	0.8167	NA	0	0.0547	NA	NA
91618_DAStool_bin155.fa_plasmid_summary.tsv k99_2644947	6651	No terminal repeats	5	11	0.7336	NA	0	0.0000	NA	NA
91618_DAStool_bin164.fa_plasmid_summary.tsv k99_1963561	2784	No terminal repeats	2	11	0.9764	NA	0	1.4819	NA	NA
91618_DAStool_bin164.fa_plasmid_summary.tsv k99_2638441	2324	No terminal repeats	2	11	0.9681	NA	1	1.1128	NA	NA
91618_DAStool_bin164.fa_plasmid_summary.tsv k99_876357	4437	No terminal repeats	9	11	0.9422	NA	0	0.9377	NA	NA
91618_DAStool_bin164.fa_plasmid_summary.tsv k99_1982629	4557	No terminal repeats	7	11	0.9231	NA	0	1.1968	NA	NA
91618_DAStool_bin164.fa_plasmid_summary.tsv k99_1825000	2875	No terminal repeats	5	11	0.9229	NA	0	0.2745	NA	NA
91618_DAStool_bin164.fa_plasmid_summary.tsv k99_2316961	6842	No terminal repeats	11	11	0.9100	NA	0	1.1876	NA	NA
91618_DAStool_bin164.fa_plasmid_summary.tsv k99_1710357	7839	No terminal repeats	6	11	0.8915	NA	0	0.5970	NA	NA
91618_DAStool_bin164.fa_plasmid_summary.tsv k99_319989	3325	No terminal repeats	2	11	0.8865	NA	0	1.4171	NA	NA
91618_DAStool_bin164.fa_plasmid_summary.tsv k99_399685	3272	No terminal repeats	5	11	0.8840	NA	0	0.0000	NA	NA
91618_DAStool_bin164.fa_plasmid_summary.tsv k99_1884022	3385	No terminal repeats	5	11	0.8504	NA	0	0.4542	NA	NA
91618_DAStool_bin164.fa_plasmid_summary.tsv k99_2042452	2966	No terminal repeats	1	11	0.8495	NA	0	1.2398	NA	NA
91618_DAStool_bin164.fa_plasmid_summary.tsv k99_2061536	3321	No terminal repeats	7	11	0.8455	NA	0	0.4906	NA	NA
91618_DAStool_bin164.fa_plasmid_summary.tsv k99_1632585	2710	No terminal repeats	3	11	0.8420	NA	0	0.0000	NA	NA
91618_DAStool_bin164.fa_plasmid_summary.tsv k99_2343102	2608	No terminal repeats	3	11	0.8373	NA	0	0.5451	NA	NA
91618_DAStool_bin164.fa_plasmid_summary.tsv k99_798285	2980	No terminal repeats	4	11	0.8259	NA	0	0.7577	NA	NA
91618_DAStool_bin164.fa_plasmid_summary.tsv k99_2632124	3197	No terminal repeats	6	11	0.8248	NA	0	0.0000	NA	NA
91618_DAStool_bin164.fa_plasmid_summary.tsv k99_2326511	2622	No terminal repeats	3	11	0.8229	NA	0	0.0000	NA	NA
91618_DAStool_bin164.fa_plasmid_summary.tsv k99_2047233	6536	No terminal repeats	6	11	0.8218	NA	0	0.0000	NA	NA
91618_DAStool_bin164.fa_plasmid_summary.tsv k99_1047995	2639	No terminal repeats	3	11	0.7921	NA	0	0.0000	NA	NA
91618_DAStool_bin164.fa_plasmid_summary.tsv k99_1430116	2995	No terminal repeats	6	11	0.7912	NA	0	0.3313	NA	NA
91618_DAStool_bin164.fa_plasmid_summary.tsv k99_1986683	2784	No terminal repeats	3	11	0.7912	NA	0	0.9039	NA	NA
91618_DAStool_bin164.fa_plasmid_summary.tsv k99_2298086	3901	No terminal repeats	4	11	0.7910	NA	0	0.0000	NA	NA
91618_DAStool_bin164.fa_plasmid_summary.tsv k99_2017029	3853	No terminal repeats	5	11	0.7899	NA	0	1.0774	NA	NA
91618_DAStool_bin164.fa_plasmid_summary.tsv k99_1616133	2636	No terminal repeats	3	11	0.7869	NA	0	0.0000	NA	NA
91618_DAStool_bin164.fa_plasmid_summary.tsv k99_797995	3071	No terminal repeats	4	11	0.7865	NA	0	0.0000	NA	NA
91618_DAStool_bin164.fa_plasmid_summary.tsv k99_812571	2625	No terminal repeats	3	11	0.7856	NA	0	0.0000	NA	NA
91618_DAStool_bin164.fa_plasmid_summary.tsv k99_702707	2856	No terminal repeats	4	11	0.7840	NA	0	0.7741	NA	NA
91618_DAStool_bin164.fa_plasmid_summary.tsv k99_2636545	3325	No terminal repeats	4	11	0.7767	NA	0	0.0000	NA	NA
91618_DAStool_bin164.fa_plasmid_summary.tsv k99_1352953	4121	No terminal repeats	5	11	0.7709	NA	0	0.0000	NA	NA
91618_DAStool_bin164.fa_plasmid_summary.tsv k99_2011128	3705	No terminal repeats	3	11	0.7551	NA	0	0.0000	NA	NA
91618_DAStool_bin164.fa_plasmid_summary.tsv k99_945837	3282	No terminal repeats	7	11	0.7510	NA	0	0.1959	NA	NA
91618_DAStool_bin164.fa_plasmid_summary.tsv k99_648678	5306	No terminal repeats	5	11	0.7501	NA	0	0.0000	NA	NA
91618_DAStool_bin164.fa_plasmid_summary.tsv k99_713111	4460	No terminal repeats	4	11	0.7450	NA	0	0.0000	NA	NA
91618_DAStool_bin164.fa_plasmid_summary.tsv k99_73727	2530	No terminal repeats	3	11	0.7179	NA	0	0.7208	NA	NA
91618_DAStool_bin164.fa_plasmid_summary.tsv k99_1310350	3029	No terminal repeats	3	11	0.7043	NA	0	0.0000	NA	NA
91618_DAStool_bin165.fa_plasmid_summary.tsv k99_945360	4012	No terminal repeats	5	11	0.7592	NA	0	0.0000	NA	NA
91618_DAStool_bin17.fa_plasmid_summary.tsv k99_2011029	4346	No terminal repeats	7	11	0.8013	NA	0	2.3176	NA	NA
91618_DAStool_bin17.fa_plasmid_summary.tsv k99_1071829	3463	No terminal repeats	4	11	0.7637	NA	0	0.0000	NA	NA
91618_DAStool_bin17.fa_plasmid_summary.tsv k99_297295	2788	No terminal repeats	3	11	0.7438	NA	0	1.5949	NA	NA
91618_DAStool_bin17.fa_plasmid_summary.tsv k99_1359796	3682	No terminal repeats	6	11	0.7430	NA	0	0.3733	NA	NF000496
91618_DAStool_bin17.fa_plasmid_summary.tsv k99_1253859	2972	No terminal repeats	4	11	0.7205	NA	0	0.7884	NA	NA
91618_DAStool_bin199.fa_plasmid_summary.tsv k99_2125808	3161	No terminal repeats	3	11	0.9778	NA	0	1.6954	NA	NA
91618_DAStool_bin199.fa_plasmid_summary.tsv k99_827371	2564	No terminal repeats	3	11	0.9733	NA	0	0.8319	NA	NA
91618_DAStool_bin199.fa_plasmid_summary.tsv k99_2210466	2592	No terminal repeats	4	11	0.9385	NA	0	0.6890	NA	NA
91618_DAStool_bin199.fa_plasmid_summary.tsv k99_794983	18878	No terminal repeats	18	11	0.8755	NA	0	3.4664	NA	NA
91618_DAStool_bin199.fa_plasmid_summary.tsv k99_751526	14905	No terminal repeats	14	11	0.8709	NA	0	2.2352	NA	NA
91618_DAStool_bin199.fa_plasmid_summary.tsv k99_733243	7311	No terminal repeats	7	11	0.8614	NA	0	0.9012	NA	NA
91618_DAStool_bin199.fa_plasmid_summary.tsv k99_317640	3022	No terminal repeats	3	11	0.8572	NA	0	1.0812	NA	NA
91618_DAStool_bin199.fa_plasmid_summary.tsv k99_2189522	10184	No terminal repeats	14	11	0.8548	NA	0	1.3623	NA	NA
91618_DAStool_bin199.fa_plasmid_summary.tsv k99_1069472	3606	No terminal repeats	5	11	0.8496	NA	0	0.9278	NA	NA
91618_DAStool_bin199.fa_plasmid_summary.tsv k99_1007195	3951	No terminal repeats	6	11	0.8475	NA	0	0.0000	NA	NA
91618_DAStool_bin199.fa_plasmid_summary.tsv k99_585484	7961	No terminal repeats	9	11	0.8206	NA	0	1.5981	NA	NA
91618_DAStool_bin199.fa_plasmid_summary.tsv k99_1205478	3806	No terminal repeats	4	11	0.8121	NA	0	0.0000	NA	NA
91618_DAStool_bin199.fa_plasmid_summary.tsv k99_265913	4520	No terminal repeats	4	11	0.8051	NA	0	0.2898	NA	NA
91618_DAStool_bin199.fa_plasmid_summary.tsv k99_1459458	3631	No terminal repeats	4	11	0.7948	NA	0	1.2316	NA	NA
91618_DAStool_bin199.fa_plasmid_summary.tsv k99_2509929	9130	No terminal repeats	9	11	0.7874	NA	0	1.2243	NA	NA
91618_DAStool_bin199.fa_plasmid_summary.tsv k99_603584	3800	No terminal repeats	5	11	0.7872	NA	0	0.2856	NA	NA
91618_DAStool_bin199.fa_plasmid_summary.tsv k99_1774385	2604	No terminal repeats	2	11	0.7836	NA	0	0.0000	NA	NA
91618_DAStool_bin199.fa_plasmid_summary.tsv k99_209043	8994	No terminal repeats	10	11	0.7794	NA	0	1.7673	NA	NA
91618_DAStool_bin199.fa_plasmid_summary.tsv k99_1383227	7339	No terminal repeats	9	11	0.7693	NA	0	0.5841	NA	NA
